Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес,Найближча станція,Відстань до метро
"вул. Микільсько-Слобідська, 1А",2 кімнати,100 м²,29 963 грн,"Дніпровський,",Дніпро,"{'lat': 50.454545, 'lng': 30.593166}",Лівобережна,0.95
"вул. Буслівська, 12",4 кімнати,122 м²,86 142 грн,"Печерський,",,"{'lat': 50.4073727, 'lng': 30.5566101}",Дружби народів,2.618
"вул. Юрія Шумського, 3Г",4 кімнати,113 м²,41 198 грн,"Дніпровський,",Печерська,"{'lat': 50.4241723, 'lng': 30.6039173}",Гідропарк,6.926
"вул. Раїси Окіпної, 18",4 кімнати,187 м²,112 360 грн,"Дніпровський,",Дніпро,"{'lat': 50.4479346, 'lng': 30.5886259}",Лівобережна,2.112
"вул. Драгомирова, 1-20а",2 кімнати,60 м²,48 689 грн,"Печерський,",,"{'lat': 50.4133862, 'lng': 30.5466086}",Дружби народів,1.711
"Бойчука Михаила, 41А",1 кімната,41 м²,44 944 грн,"Печерський,",Видубичі,"{'lat': 50.4053575, 'lng': 30.552688}",Дружби народів,2.468
"вул. Срібнокільська, 1",4 кімнати,142 м²,40 000 грн,"Дарницький,",Позняки,"{'lat': 50.4026826, 'lng': 30.6305149}",Позняки,0.879
"вул. Ділова, 2\2",1 кімната,55 м²,63 670 грн,"Печерський,",Олімпійська,"{'lat': 50.4300933, 'lng': 30.5216232}",Олімпійська,0.621
"наб. Дніпровська, 26Б",3 кімнати,90 м²,30 000 грн,"Дарницький,",,"{'lat': 50.40592760000001, 'lng': 30.6128539}",Осокорки,3.803
"вул. Зарічна, 3А",3 кімнати,82 м²,37 453 грн,"Дарницький,",Славутич,"{'lat': 50.3968662, 'lng': 30.6000385}",Славутич,3.538
"вул. Буслівська, 12",2 кімнати,75 м²,78 652 грн,"Печерський,",,"{'lat': 50.4073727, 'lng': 30.5566101}",Дружби народів,2.618
"вул. Буслівська, 12",4 кімнати,120 м²,89 888 грн,"Печерський,",,"{'lat': 50.4073727, 'lng': 30.5566101}",Дружби народів,2.618
"вул. Зарічна, 1Б",2 кімнати,51 м²,31 835 грн,"Дарницький,",,"{'lat': 50.3959509, 'lng': 30.5996472}",Славутич,3.501
"просп. Бажана Миколи, 10",3 кімнати,118 м²,37 453 грн,"Дарницький,",Осокорки,"{'lat': 50.3950225, 'lng': 30.6191444}",Осокорки,3.338
просп. Бажана Миколи,3 кімнати,65 м²,44 944 грн,"Дарницький,",Славутич,"{'lat': 50.401933, 'lng': 30.6550608}",Харківська,0.142
"наб. Дніпровська, 1А",4 кімнати,135 м²,35 581 грн,"Дніпровський,",Дніпро,"{'lat': 50.4287798, 'lng': 30.5945635}",Гідропарк,6.541
вул. Зарічна,3 кімнати,82 м²,44 944 грн,"Дарницький,",Славутич,"{'lat': 50.3965026, 'lng': 30.6048277}",Славутич,1.951
вул. Софіївська,5 кімнат,146 м²,101 124 грн,"Шевченківський,",,"{'lat': 50.4521243, 'lng': 30.5183356}",Васильківська,1.162
вул. Ломоносова,2 кімнати,100 м²,29 963 грн,"Голосіївський,",Виставковий центр,"{'lat': 50.3895313, 'lng': 30.4800003}",Виставковий центр,1.105
"вул. Буслівська, 12",4 кімнати,190 м²,205 992 грн,"Печерський,",Дніпро,"{'lat': 50.4073727, 'lng': 30.5566101}",Дружби народів,2.618
"пров. Лабораторний, 7",2 кімнати,77 м²,41 198 грн,"Печерський,",Печерська,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
вул. Зарічна,4 кімнати,102 м²,59 925 грн,"Дарницький,",Осокорки,"{'lat': 50.3965026, 'lng': 30.6048277}",Славутич,1.951
вул. Євгена Сверстюка,2 кімнати,75 м²,44 944 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4469521, 'lng': 30.606063}",Лівобережна,0.855
"наб. Дніпровська, 1Б",3 кімнати,85 м²,56 180 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4287798, 'lng': 30.5945635}",Гідропарк,6.541
вул. Євгена Маланюка,3 кімнати,101 м²,56 180 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4658214, 'lng': 30.5857313}",Лівобережна,2.689
"вул. Кудряшова, 20Г",3 кімнати,132 м²,37 453 грн,"Солом'янський,",,"{'lat': 50.4299697, 'lng': 30.4871658}",Вокзальна,2.89
"вул. Микільсько-Слобідська, 1",3 кімнати,100 м²,56 180 грн,"Дніпровський,",,"{'lat': 50.4543149, 'lng': 30.5930537}",Лівобережна,0.968
"вул. Пирогова, 2/37Б",5 кімнат,248 м²,149 813 грн,"Шевченківський,",Університет,"{'lat': 50.4457726, 'lng': 30.5061597}",Університет,0.83
"бул. Лесі Українки, 8",1 кімната,54 м²,59 925 грн,"Печерський,",Печерська,"{'lat': 50.4364836, 'lng': 30.5273173}",Кловська,1.094
"вул. Авіоконструктора Антонова, 2Б",3 кімнати,102 м²,48 689 грн,"Солом'янський,",Площа Льва Толстого,"{'lat': 50.4301478, 'lng': 30.4635295}",Вокзальна,4.091
"пров. Лабораторний, 7",2 кімнати,76 м²,56 180 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"Хмельницького Богдана вулиця, 58А",3 кімнати,110 м²,56 180 грн,"Шевченківський,",,"{'lat': 50.4480724, 'lng': 30.5054962}",Університет,1.152
"вул. Саперне Поле, 3",2 кімнати,55 м²,41 198 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"вул. Предславинська, 53",3 кімнати,85 м²,56 180 грн,"Печерський,",,"{'lat': 50.4163373, 'lng': 30.5264989}",Либідська,1.272
"вул. Кропивницького, 10",4 кімнати,260 м²,112 360 грн,"Печерський,",,"{'lat': 50.4408691, 'lng': 30.5242363}",Палац спорту,1.897
"вул. Предславинська, 55А",1 кімната,40 м²,33 708 грн,"Печерський,",,"{'lat': 50.415869, 'lng': 30.5272892}",Либідська,1.4
"просп. Соборності, 30А",5 кімнат,150 м²,52 434 грн,"Дніпровський,",,"{'lat': 50.4397208, 'lng': 30.6095525}",Лівобережна,1.756
"пров. Лабораторний, 7",2 кімнати,73 м²,29 963 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Січових Стрільців, 70А",3 кімнати,130 м²,74 906 грн,"Шевченківський,",,"{'lat': 50.4576852, 'lng': 30.4885671}",Лук'янівська,0.627
"вул. Маккейна Джона, 7",3 кімнати,130 м²,131 086 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}",Либідська,1.072
"вул. Саперне Поле, 3",4 кімнати,156 м²,112 360 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"вул. Рогнідинська, 4",6 кімнат,180 м²,93 633 грн,"Печерський,",,"{'lat': 50.43940449999999, 'lng': 30.5197061}",Площа Льва Толстого,1.914
"вул. Мічуріна, 52",2 кімнати,200 м²,168 539 грн,"Печерський,",,"{'lat': 50.4217932, 'lng': 30.5623114}",Дружби народів,2.974
"вул. Антоновича, 109",3 кімнати,87 м²,56 180 грн,"Печерський,",,"{'lat': 50.4228775, 'lng': 30.5171182}",Палац Україна,0.853
"вул. Коновальця Євгена, 32Б",3 кімнати,128 м²,37 453 грн,"Печерський,",,"{'lat': 50.4258396, 'lng': 30.5324957}",Печерська,1.17
"вул. Микільсько-Слобідська, 1",2 кімнати,78 м²,26 217 грн,"Дарницький,",,"{'lat': 50.4543149, 'lng': 30.5930537}",Лівобережна,0.968
"пров. Мічуріна, 54",2 кімнати,183 м²,131 086 грн,"Печерський,",,"{'lat': 50.42175599999999, 'lng': 30.5624783}",Дружби народів,2.964
"вул. Панаса Мирного, 28А",4 кімнати,210 м²,74 906 грн,"Печерський,",,"{'lat': 50.43444119999999, 'lng': 30.5370585}",Кловська,2.664
"вул. Драгомирова, 16",3 кімнати,125 м²,56 180 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"вул. Гусовського, 15",2 кімнати,100 м²,74 906 грн,"Печерський,",,"{'lat': 50.433738, 'lng': 30.5409456}",Печерська,1.058
"вул. Гусовського, 4А",2 кімнати,60 м²,33 708 грн,"Печерський,",,"{'lat': 50.4352905, 'lng': 30.5403488}",Кловська,0.887
"вул. Василя Тютюнника, 37/1",3 кімнати,118 м²,41 198 грн,"Печерський,",,"{'lat': 50.421121, 'lng': 30.5263204}",Палац Україна,0.663
"вул. Інститутська, 18А",4 кімнати,200 м²,93 633 грн,"Печерський,",,"{'lat': 50.4452794, 'lng': 30.5316717}",Майдан Незалежності,1.719
"вул. Драгомирова, 16",3 кімнати,92 м²,56 180 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"наб. Дніпровська, 1А",4 кімнати,148 м²,29 963 грн,"Дніпровський,",,"{'lat': 50.4287798, 'lng': 30.5945635}",Гідропарк,6.541
"наб. Дніпровська, 1А",4 кімнати,140 м²,37 453 грн,"Дніпровський,",,"{'lat': 50.4287798, 'lng': 30.5945635}",Гідропарк,6.541
"вул. Ділова, 1/2",3 кімнати,103 м²,74 906 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"вул. Богдана Хмельницького, 61",3 кімнати,120 м²,93 633 грн,"Шевченківський,",,"{'lat': 50.44818, 'lng': 30.498717}",Університет,1.114
"вул. Богдана Хмельницького (Вигурівщина), 58А",3 кімнати,95 м²,74 906 грн,"Шевченківський,",,"{'lat': 50.4465095, 'lng': 30.510173}",Золоті ворота,0.361
"бул. Лесі Українки, 30Б",3 кімнати,120 м²,37 453 грн,"Голосіївський,",,"{'lat': 50.42355800000001, 'lng': 30.5416008}",Печерська,1.028
"вул. Сергія Колоса, 2",2 кімнати,50 м²,44 944 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}",Виставковий центр,3.367
"вул. Антоновича, 3",3 кімнати,120 м²,67 416 грн,"Голосіївський,",,"{'lat': 50.4390209, 'lng': 30.514017}",Площа Льва Толстого,0.467
"вул. Професора Підвисоцького, 4В",2 кімнати,43 м²,34 644 грн,"Печерський,",,"{'lat': 50.4155174, 'lng': 30.5488401}",Дружби народів,2.533
"вул. Сергія Колоса, 2",2 кімнати,64 м²,33 708 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}",Виставковий центр,3.367
"вул. Предславинська, 42",1 кімната,45 м²,29 963 грн,"Печерський,",,"{'lat': 50.4155115, 'lng': 30.5252012}",Либідська,1.205
"вул. Маккейна Джона, 7",4 кімнати,123 м²,131 086 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}",Либідська,1.072
"вул. Патріса Лумумби, 6/1",2 кімнати,200 м²,374 532 грн,"Печерський,",,"{'lat': 50.42050210000001, 'lng': 30.5305674}",Палац Україна,0.84
"вул. Зарічна, 1А",2 кімнати,65 м²,32 000 грн,"Дарницький,",,"{'lat': 50.3955528, 'lng': 30.6016304}",Славутич,2.115
"вул. Академика Філатова, 2/1",2 кімнати,83 м²,26 217 грн,"Печерський,",,"{'lat': 50.4182169, 'lng': 30.5295358}",Палац Україна,0.976
"вул. Драгомирова, 16",3 кімнати,115 м²,74 906 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"вул. Старонаводницька, 6Б",4 кімнати,152 м²,56 180 грн,"Печерський,",,"{'lat': 50.42741969999999, 'lng': 30.5460873}",Печерська,1.333
"бул. Лесі Українки, 7Б",5 кімнат,200 м²,63 670 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"бул. Лесі Українки, 7А",2 кімнати,105 м²,31 835 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Гоголівська, 30",3 кімнати,110 м²,41 198 грн,"Шевченківський,",,"{'lat': 50.4522345, 'lng': 30.494798}",Університет,1.957
"вул. Антоновича, 74",3 кімнати,55 м²,37 453 грн,"Голосіївський,",,"{'lat': 50.4261288, 'lng': 30.5140672}",Олімпійська,1.186
"вул. Драгомирова, 14",3 кімнати,156 м²,56 180 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}",Дружби народів,1.951
"вул. Микільсько-Слобідська, 1",3 кімнати,100 м²,56 180 грн,"Дніпровський,",,"{'lat': 50.4543149, 'lng': 30.5930537}",Лівобережна,0.968
"вул. Пушкінська, 21",4 кімнати,170 м²,131 086 грн,"Печерський,",,"{'lat': 50.443824, 'lng': 30.51796599999999}",Театральна,0.217
"пров. Нестеровський, 6",4 кімнати,174 м²,41 198 грн,"Шевченківський,",,"{'lat': 50.4568673, 'lng': 30.5039135}",Контрактова площа,2.408
"вул. Болсуновська, 23",3 кімнати,146 м²,74 906 грн,"Печерський,",,"{'lat': 50.4179355, 'lng': 30.5533801}",Дружби народів,1.257
"вул. Шота Руставелі, 27",3 кімнати,103 м²,74 906 грн,"Печерський,",,"{'lat': 50.43762299999999, 'lng': 30.518688}",Палац спорту,0.353
"Маккейна Джона, 26",2 кімнати,84 м²,89 888 грн,",",Дружби народів,"{'lat': 50.4184533, 'lng': 30.5392407}",Дружби народів,1.281
"вул. Пилипа Орлика, 6",3 кімнати,110 м²,56 180 грн,"Печерський,",,"{'lat': 50.44274979999999, 'lng': 30.5324967}",Кловська,3.378
"вул. Павлівська, 46",4 кімнати,180 м²,56 180 грн,"Солом'янський,",,"{'lat': 50.45187050000001, 'lng': 30.484599}",Лук'янівська,1.312
"вул. Хрещатик, 27",2 кімнати,72 м²,46 816 грн,"Голосіївський,",,"{'lat': 50.4438398, 'lng': 30.5225885}",Театральна,5.1
"вул. Новоселицька, 10",2 кімнати,130 м²,74 906 грн,"Печерський,",,"{'lat': 50.4083967, 'lng': 30.5555335}",Дружби народів,2.666
"вул. Інститутська, 18А",4 кімнати,200 м²,93 633 грн,"Печерський,",,"{'lat': 50.4452794, 'lng': 30.5316717}",Майдан Незалежності,1.719
"пл. Лесі Українки, 30",3 кімнати,250 м²,63 670 грн,"Печерський,",,"{'lat': 50.4229963, 'lng': 30.5431095}",Печерська,0.729
"вул. Володимирська, 9",3 кімнати,120 м²,82 397 грн,"Голосіївський,",,"{'lat': 50.4563228, 'lng': 30.5178228}",Поштова площа,2.411
"вул. Драгомирова, 9",3 кімнати,120 м²,112 360 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}",Дружби народів,2.145
"вул. Юрія Іллєнка, 18Б",2 кімнати,125 м²,37 453 грн,"Шевченківський,",,"{'lat': 50.46657949999999, 'lng': 30.47665569999999}",Лук'янівська,1.087
"вул. Маккейна Джона, 7",2 кімнати,45 м²,48 689 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}",Либідська,1.072
"вул. Тарасівська, 14/2",6 кімнат,226 м²,93 633 грн,"Шевченківський,",,"{'lat': 50.4383194, 'lng': 30.5068299}",Університет,1.999
"вул. Лютеранська, 27-29",3 кімнати,100 м²,41 198 грн,"Печерський,",,"{'lat': 50.4433127, 'lng': 30.5289257}",Майдан Незалежності,1.06
"вул. Драгомирова, 18",4 кімнати,180 м²,187 266 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"вул. Миколи Шепелєва, 5",3 кімнати,100 м²,25 000 грн,"Солом'янський,",,"{'lat': 50.4220149, 'lng': 30.4312435}",Шулявська,5.451
"Драгомирова вулиця, 1-20а",3 кімнати,87 м²,52 434 грн,"Печерський,",,"{'lat': 50.4133862, 'lng': 30.5466086}",Дружби народів,1.711
"вул. Авіоконструктора Антонова, 2Б",4 кімнати,130 м²,41 198 грн,"Солом'янський,",,"{'lat': 50.4301478, 'lng': 30.4635295}",Вокзальна,4.091
"Евгения Коновальца, 26А",3 кімнати,204 м²,123 595 грн,"Печерський,",Печерська,"{'lat': 50.42695519999999, 'lng': 30.5307143}",Печерська,0.932
"вул. Василя Тютюнника, 37/1",3 кімнати,110 м²,41 198 грн,"Печерський,",,"{'lat': 50.421121, 'lng': 30.5263204}",Палац Україна,0.663
"вул. Жилянська, 68",3 кімнати,115 м²,82 397 грн,"Голосіївський,",,"{'lat': 50.436448, 'lng': 30.503023}",Університет,2.235
"вул. Дарвіна, 3",4 кімнати,300 м²,262 172 грн,"Печерський,",,"{'lat': 50.441934, 'lng': 30.5255537}",Палац спорту,5.442
"Лысенко Николая, 1",3 кімнати,81 м²,67 416 грн,"Шевченківський,",,"{'lat': 50.4483694, 'lng': 30.5124686}",Золоті ворота,0.705
"вул. Болсуновська, 2",2 кімнати,82 м²,74 906 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}",Дружби народів,1.647
"вул. Набережно-Рибальська, 9",1 кімната,50 м²,44 944 грн,"Подільський,",Хрещатик,"{'lat': 50.4804149, 'lng': 30.535291}",Контрактова площа,3.081
"вул. Маккейна Джона, 26",4 кімнати,125 м²,67 416 грн,"Печерський,",,"{'lat': 50.4184533, 'lng': 30.5392407}",Дружби народів,1.281
"спуск Кловский, 7А",2 кімнати,85 м²,44 944 грн,"Печерський,",,"{'lat': 50.438286, 'lng': 30.536915}",Кловська,0.392
"вул. Заньковецької, 6",3 кімнати,169 м²,56 180 грн,"Шевченківський,",Хрещатик,"{'lat': 50.4469139, 'lng': 30.5251861}",Майдан Незалежності,0.51
"бул. Лесі Українки, 7Б",4 кімнати,419 м²,86 142 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Шота Руставелі, 44",2 кімнати,80 м²,33 708 грн,"Шевченківський,",,"{'lat': 50.4352633, 'lng': 30.5180058}",Олімпійська,1.045
"бул. Тараса Шевченка, 1",1 кімната,52 м²,48 689 грн,"Печерський,",,"{'lat': 50.4421912, 'lng': 30.5193614}",Площа Льва Толстого,0.332
"пл. Бессарабська, 5",3 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4428514, 'lng': 30.5223082}",Театральна,0.701
"вул. Юрія Іллєнка, 51",3 кімнати,100 м²,29 963 грн,"Шевченківський,",,"{'lat': 50.4655795, 'lng': 30.4754185}",Лук'янівська,0.81
"вул. Саксаганського, 37К",3 кімнати,144 м²,187 266 грн,"Голосіївський,",,"{'lat': 50.4354538, 'lng': 30.5125045}",Олімпійська,0.671
"вул. Юрія Іллєнка, 18Б",3 кімнати,120 м²,37 453 грн,"Шевченківський,",,"{'lat': 50.46657949999999, 'lng': 30.47665569999999}",Лук'янівська,1.087
"вул. Саперне Поле, 5А",4 кімнати,175 м²,168 539 грн,"Печерський,",,"{'lat': 50.4195381, 'lng': 30.5322298}",Палац Україна,0.998
"Кудрі) (Івана Джона Маккейна вулиця, 7",2 кімнати,50 м²,52 434 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}",Либідська,1.072
"вул. Вишгородська, 45А",3 кімнати,111 м²,44 944 грн,"Подільський,",,"{'lat': 50.5104152, 'lng': 30.4496986}",Мінська,5.273
"вул. Предславинська, 40",4 кімнати,104 м²,63 670 грн,"Голосіївський,",,"{'lat': 50.4161335, 'lng': 30.525454}",Либідська,1.244
"пров. Голосіївський, 58",3 кімнати,120 м²,37 453 грн,"Голосіївський,",,"{'lat': 50.40083370000001, 'lng': 30.5130079}",Голосіївська,0.478
"вул. Маккейна Джона, 1Б",1 кімната,45 м²,44 944 грн,"Печерський,",,"{'lat': 50.414604, 'lng': 30.5264298}",Либідська,0.88
"вул. Бульварно-Кудрявська, 17",2 кімнати,67 м²,44 944 грн,"Шевченківський,",,"{'lat': 50.4524415, 'lng': 30.5021616}",Університет,2.184
"вул. Круглоуніверситетська, 3-5",4 кімнати,180 м²,74 906 грн,"Печерський,",,"{'lat': 50.4432141, 'lng': 30.5231577}",Театральна,4.896
"вул. Велика Житомирська, 12",3 кімнати,130 м²,44 944 грн,"Голосіївський,",,"{'lat': 50.4556046, 'lng': 30.5145365}",Поштова площа,2.229
"вул. Деміївська, 62",3 кімнати,95 м²,112 360 грн,"Голосіївський,",,"{'lat': 50.3987853, 'lng': 30.4995792}",Голосіївська,1.313
"вул. Тургенєвська, 44",4 кімнати,174 м²,131 086 грн,"Шевченківський,",,"{'lat': 50.4523333, 'lng': 30.4923014}",Лук'янівська,1.479
"вул. Ольгинська, 6",3 кімнати,155 м²,44 944 грн,"Печерський,",,"{'lat': 50.4472764, 'lng': 30.5288535}",Майдан Незалежності,0.443
"вул. Дмитрівська, 66",3 кімнати,122 м²,44 944 грн,"Шевченківський,",,"{'lat': 50.4531991, 'lng': 30.4887321}",Лук'янівська,1.032
"узвіз Кловський, 7",3 кімнати,159 м²,52 434 грн,"Печерський,",,"{'lat': 50.4405345, 'lng': 30.5389159}",Арсенальна,1.903
"вул. Патріса Лумумби, 6/1",2 кімнати,85 м²,41 198 грн,"Печерський,",,"{'lat': 50.42050210000001, 'lng': 30.5305674}",Палац Україна,0.84
"вул. Драгомирова, 18А",4 кімнати,131 м²,59 925 грн,"Печерський,",,"{'lat': 50.4101353, 'lng': 30.5445326}",Дружби народів,2.89
"вул. Бульварно-Кудрявська, 21",3 кімнати,92 м²,52 434 грн,"Шевченківський,",,"{'lat': 50.4521813, 'lng': 30.5010224}",Університет,2.282
"вул. Саперне Поле, 3",3 кімнати,94 м²,78 652 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"узвіз Кловський, 11",2 кімнати,55 м²,31 835 грн,"Печерський,",,"{'lat': 50.4373307, 'lng': 30.5386064}",Кловська,0.648
"вул. Драгомирова, 15Б",4 кімнати,153 м²,224 719 грн,"Печерський,",,"{'lat': 50.4081006, 'lng': 30.5449295}",Дружби народів,3.007
"вул. Кудрявська, 45",2 кімнати,52 м²,41 198 грн,"Шевченківський,",,"{'lat': 50.45897530000001, 'lng': 30.5035006}",Контрактова площа,2.707
"вул. Михайла Бойчука, 41",2 кімнати,50 м²,22 472 грн,"Печерський,",,"{'lat': 50.4060956, 'lng': 30.552806}",Дружби народів,2.498
"Украинки Леси бул., 23",3 кімнати,146 м²,56 180 грн,"Печерський,",,"{'lat': 50.4239865, 'lng': 30.5435004}",Печерська,0.577
"вул. Авіоконструктора Антонова, 4А",4 кімнати,185 м²,74 906 грн,"Солом'янський,",,"{'lat': 50.4311659, 'lng': 30.459127}",Політехнічний інститут,4.768
"вул. Юрія Шумського, 1",7 кімнат,293 м²,74 906 грн,"Дніпровський,",,"{'lat': 50.4265104, 'lng': 30.6033211}",Гідропарк,6.634
"бул. Лесі Українки, 7Б",3 кімнати,136 м²,41 198 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Шота Руставелі, 44",3 кімнати,86 м²,41 198 грн,"Печерський,",,"{'lat': 50.4352633, 'lng': 30.5180058}",Олімпійська,1.045
"просп. Володимира Івасюка, 2Д",3 кімнати,75 м²,48 689 грн,"Оболонський,",,"{'lat': 50.48987409999999, 'lng': 30.5296688}",Почайна,4.979
"вул. Василя Тютюнника, 37/1",3 кімнати,100 м²,48 689 грн,"Печерський,",,"{'lat': 50.421121, 'lng': 30.5263204}",Палац Україна,0.663
"вул. Коперника, 3",3 кімнати,105 м²,65 000 грн,"Шевченківський,",,"{'lat': 50.459186, 'lng': 30.4840542}",Лук'янівська,0.294
"бул. Лесі Українки, 21Б",4 кімнати,110 м²,56 180 грн,"Печерський,",,"{'lat': 50.42507620000001, 'lng': 30.5434251}",Печерська,0.456
"бул. Лесі Українки, 7Б",2 кімнати,92 м²,30 000 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Тарасівська, 14/2",3 кімнати,95 м²,37 453 грн,"Голосіївський,",,"{'lat': 50.4383194, 'lng': 30.5068299}",Університет,1.999
"вул. Кудрявська, 13-15",5 кімнат,200 м²,112 360 грн,"Шевченківський,",,"{'lat': 50.45810789999999, 'lng': 30.5005747}",Лук'янівська,1.755
"вул. Жилянська, 59",3 кімнати,160 м²,48 689 грн,"Голосіївський,",,"{'lat': 50.4377164, 'lng': 30.4996084}",Університет,1.559
"наб. Дніпровська, 26Ж",5 кімнат,125 м²,40 562 грн,"Дарницький,",,"{'lat': 50.40592760000001, 'lng': 30.6128539}",Осокорки,3.803
"вул. Саксаганського, 37К",2 кімнати,65 м²,41 198 грн,"Голосіївський,",,"{'lat': 50.4354538, 'lng': 30.5125045}",Олімпійська,0.671
"вул. Антоновича, 109",2 кімнати,80 м²,71 161 грн,"Голосіївський,",,"{'lat': 50.4228775, 'lng': 30.5171182}",Палац Україна,0.853
"Болсуновская, 23",3 кімнати,146 м²,52 434 грн,"Печерський,",,"{'lat': 50.4179355, 'lng': 30.5533801}",Дружби народів,1.257
"вул. Заньковецької, 8",2 кімнати,75 м²,41 198 грн,"Печерський,",,"{'lat': 50.4467489, 'lng': 30.5245262}",Майдан Незалежності,0.52
"вул. Хорива, 39/41",3 кімнати,144 м²,48 689 грн,"Подільський,",,"{'lat': 50.4693441, 'lng': 30.5179746}",Контрактова площа,0.759
"вул. Звіринецька, 59",4 кімнати,184 м²,56 180 грн,"Печерський,",,"{'lat': 50.40776959999999, 'lng': 30.5552412}",Дружби народів,2.587
"вул. Пушкінська, 19",3 кімнати,70 м²,46 816 грн,"Печерський,",,"{'lat': 50.444099, 'lng': 30.517972}",Театральна,0.187
"вул. Драгомирова, 16",5 кімнат,205 м²,112 360 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"вул. Антоновича, 131",4 кімнати,220 м²,86 142 грн,"Голосіївський,",,"{'lat': 50.4182807, 'lng': 30.5201892}",Палац Україна,0.322
"вул. Паньківська, 27",3 кімнати,100 м²,56 180 грн,"Голосіївський,",,"{'lat': 50.43793119999999, 'lng': 30.5014809}",Університет,1.488
"вул. Рейтарська, 20/24",5 кімнат,170 м²,56 180 грн,"Шевченківський,",,"{'lat': 50.4539942, 'lng': 30.5114107}",Золоті ворота,1.522
"бул. Лесі Українки, 7Б",2 кімнати,98 м²,44 944 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Богдана Хмельницького, 58А",3 кімнати,154 м²,56 180 грн,"Шевченківський,",,"{'lat': 50.4480724, 'lng': 30.5054962}",Університет,1.152
"вул. Спаська, 5",3 кімнати,97 м²,74 906 грн,"Подільський,",,"{'lat': 50.4657817, 'lng': 30.515672}",Контрактова площа,0.208
"Драгомирова Михаила, 11",3 кімнати,120 м²,67 416 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
"вул. Євгена Сверстюка, 4",2 кімнати,75 м²,56 180 грн,"Дніпровський,",,"{'lat': 50.4485245, 'lng': 30.5996028}",Лівобережна,0.376
"вул. Лабораторна, 8",4 кімнати,140 м²,112 360 грн,"Печерський,",,"{'lat': 50.4263789, 'lng': 30.5208761}",Палац Україна,1.325
"вул. Драгомирова, 18",2 кімнати,63 м²,41 198 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"вул. Шота Руставелі, 12",4 кімнати,150 м²,44 944 грн,"Голосіївський,",,"{'lat': 50.4395485, 'lng': 30.52080429999999}",Палац спорту,0.882
"вул. Маккейна Джона, 3А",1 кімната,51 м²,44 944 грн,"Печерський,",,"{'lat': 50.4147002, 'lng': 30.5275287}",Либідська,1.21
"бул. Тараса Шевченка, 27Б",4 кімнати,210 м²,93 633 грн,"Шевченківський,",,"{'lat': 50.445198, 'lng': 30.4972789}",Університет,1.048
