Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"вул. Драгомирова, 18",3 кімнати,80 м²,37 453 грн,"Печерський,",
"вул. Василя Тютюнника, 28А",1 кімната,55 м²,31 835 грн,"Печерський,",
"вул. Професора Підвисоцького, 4В",2 кімнати,53 м²,28 090 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 15",1 кімната,50 м²,24 345 грн,"Печерський,",
"вул. Драгомирова, 15А",2 кімнати,55 м²,37 453 грн,"Печерський,",
"вул. Предславинська, 42",2 кімнати,60 м²,44 944 грн,"Печерський,",
"вул. Предславинська, 40",2 кімнати,63 м²,41 198 грн,"Голосіївський,",
"вул. Маккейна Джона, 1",4 кімнати,120 м²,101 124 грн,"Голосіївський,",
"вул. Драгомирова, 12",2 кімнати,80 м²,29 963 грн,"Печерський,",
"вул. Антоновича, 44",4 кімнати,100 м²,63 670 грн,"Голосіївський,",
"вул. Василя Тютюнника, 28А",2 кімнати,55 м²,26 217 грн,"Печерський,",
"вул. Драгомирова, 15",2 кімнати,60 м²,41 198 грн,"Печерський,",
"вул. Драгомирова, 16",2 кімнати,87 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 15",3 кімнати,95 м²,48 689 грн,"Печерський,",
"вул. Предславинська, 53",2 кімнати,60 м²,26 217 грн,"Голосіївський,",
"вул. Драгомирова, 1-20а",2 кімнати,84 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 17",3 кімнати,120 м²,131 086 грн,"Печерський,",
"вул. Срібнокільська, 3В",2 кімнати,92 м²,19 000 грн,"Дарницький,",Позняки
"вул. Круглоуніверситетська, 22",3 кімнати,88 м²,37 453 грн,"Шевченківський,",Палац спорту
"просп. Берестейський(Перемоги), 12",2 кімнати,45 м²,14 000 грн,"Солом'янський,",Вокзальна
"вул. Микільсько-Слобідська, 1А",3 кімнати,125 м²,28 888 грн,"Дніпровський,",Лівобережна
"вул. Ділова, 1/2",3 кімнати,77 м²,93 633 грн,"Печерський,",Олімпійська
вул. Василя Тютюнника,2 кімнати,55 м²,37 453 грн,"Печерський,","Палац ""Україна"""
"пров. Нестеровський, 6",3 кімнати,130 м²,56 180 грн,"Шевченківський,",Золоті ворота
вул. Січових Стрільців,4 кімнати,130 м²,93 633 грн,"Шевченківський,",
вул. Дегтярна,2 кімнати,85 м²,63 670 грн,"Подільський,",
вул. Трьохсвятильська,3 кімнати,182 м²,74 906 грн,"Шевченківський,",Хрещатик
наб. Оболонська,2 кімнати,67 м²,52 434 грн,"Оболонський,",Оболонь
вул. Коновальця Євгена,3 кімнати,112 м²,67 416 грн,"Печерський,",
вул. Пулюя,4 кімнати,111 м²,48 689 грн,"Святошинський,",
вул. Сергія Колоса,3 кімнати,80 м²,63 670 грн,",",
вул. Василя Тютюнника,1 кімната,47 м²,56 180 грн,"Печерський,","Палац ""Україна"""
"вул. Деміївська, 62",2 кімнати,62 м²,44 944 грн,"Голосіївський,",
"вул. Драгомирова, 16",2 кімнати,85 м²,48 689 грн,"Печерський,",
"вул. Урлівська, 11А",1 кімната,52 м²,11 500 грн,"Дарницький,",
"вул. Драгоманова, 40Е",2 кімнати,83 м²,22 000 грн,"Дарницький,",
"вул. Чавдар Єлизавети, 14А",3 кімнати,78 м²,20 000 грн,"Дарницький,",
"вул. Княжий Затон, 2/30",1 кімната,73 м²,18 727 грн,"Дарницький,",
"Коновальця, 32Г",3 кімнати,126 м²,26 217 грн,"Печерський,","Палац ""Україна"""
"вул. Алімпія Галіка, 75",1 кімната,50 м²,12 000 грн,"Дарницький,",
"вул. Урлівська, 19",2 кімнати,74 м²,15 000 грн,"Дарницький,",
"вул. Софіївська, 17",2 кімнати,45 м²,20 000 грн,"Шевченківський,",
"Харківське шосе, 19А",3 кімнати,120 м²,14 990 грн,"Дарницький,",
"бул. Вацлава Гавела, 6/7А",1 кімната,45 м²,30 000 грн,"Солом'янський,",
"Красноармейская, 29",2 кімнати,45 м²,20 000 грн,"Печерський,",
"вул. Старонаводницька, 8А",2 кімнати,76 м²,37 453 грн,"Печерський,",Печерська
"вул. Льва Толстого, 17А",2 кімнати,67 м²,48 689 грн,"Шевченківський,",
"вул. Академика Філатова, 2/1",2 кімнати,80 м²,56 180 грн,"Печерський,",
"вул. Паторжинського, 14",3 кімнати,148 м²,74 906 грн,"Шевченківський,",Золоті ворота
"вул. Тургенєвська, 46/11",4 кімнати,222 м²,112 360 грн,"Шевченківський,",Лук'янівська
"вул. Полтавська, 10",2 кімнати,101 м²,47 244 грн,"Шевченківський,",Лук'янівська
"вул. Герцена, 17/25",3 кімнати,120 м²,28 090 грн,"Шевченківський,",Лук'янівська
вул. Богданівська,2 кімнати,103 м²,69 438 грн,"Солом'янський,",
"пл. Спортивна, 3",6 кімнат,240 м²,262 172 грн,"Печерський,",
вул. Набережно-Рибальська,2 кімнати,75 м²,59 925 грн,"Подільський,",Поштова площа
"вул. Ковпака, 17",4 кімнати,140 м²,37 453 грн,"Печерський,","Палац ""Україна"""
"вул. Парково-Сирецька , 4В",3 кімнати,100 м²,52 434 грн,"Шевченківський,",Берестейська
"вул. Рогнідинська, 4",6 кімнат,180 м²,93 633 грн,"Печерський,",Палац спорту
"вулиця Симона Петлюри, 20",2 кімнати,60 м²,20 000 грн,"Шевченківський,",
вул. В'ячеслава Чорновола,1 кімната,90 м²,28 090 грн,"Шевченківський,",
"вул. Шота Руставелі, 11",1 кімната,89 м²,64 831 грн,"Печерський,",Палац спорту
"вул. Маккейна Джона, 26",2 кімнати,86 м²,101 124 грн,"Печерський,",Дружби народів
Петлюры,5 кімнат,180 м²,56 180 грн,"Шевченківський,",
"вул. Богдана Хмельницького, 41",3 кімнати,146 м²,44 944 грн,"Шевченківський,",Університет
"вул. Коновальця Євгена, 44",3 кімнати,104 м²,67 416 грн,"Печерський,",
"вул. Золотоворітська, 2А",1 кімната,64 м²,44 944 грн,",",Золоті ворота
"бул. Тараса Шевченка, 27Б",4 кімнати,170 м²,59 925 грн,"Шевченківський,",Університет
"узвіз Кловський, 7",3 кімнати,155 м²,59 925 грн,"Печерський,",Кловська
"вул. Василя Тютюнника, 51/1",2 кімнати,86 м²,26 217 грн,"Печерський,",
,3 кімнати,93 м²,86 142 грн,,
"ул. К. Малевича, 48",2 кімнати,65 м²,54 307 грн,"Голосіївський,",
"вул. Драгомирова, 20",4 кімнати,110 м²,93 633 грн,"Печерський,",Дружби народів
вул. Пушкінська,3 кімнати,50 м²,74 906 грн,"Шевченківський,",Хрещатик
,3 кімнати,115 м²,74 906 грн,,
"вул. Василя Тютюнника, 51/1",2 кімнати,54 м²,44 944 грн,"Печерський,",
"вул. Лесі Українки, 7В",2 кімнати,60 м²,74 906 грн,,
"вул. Маккейна Джона, 26",2 кімнати,60 м²,48 689 грн,"Печерський,",
вул. Московська,2 кімнати,94 м²,82 397 грн,"Печерський,",Печерська
вул. Глибочицька,3 кімнати,98 м²,40 000 грн,"Шевченківський,",Контрактова площа
бул. Тараса Шевченка,3 кімнати,180 м²,222 472 грн,"Шевченківський,",
вул. Дмитрівська,3 кімнати,121 м²,59 925 грн,"Шевченківський,",
наб. Дніпровська,2 кімнати,83 м²,56 180 грн,"Дніпровський,",Лівобережна
"вул. Володимирська, 11",2 кімнати,62 м²,18 727 грн,"Шевченківський,",Хрещатик
вул. Василя Тютюнника,3 кімнати,120 м²,134 831 грн,"Печерський,","Палац ""Україна"""
вул. Предславинська,2 кімнати,56 м²,52 434 грн,"Печерський,",Либідська
вул. Предславинська,2 кімнати,56 м²,52 434 грн,"Печерський,",Либідська
"вулиця Голосіївська, 13Б",1 кімната,83 м²,22 000 грн,"Голосіївський,",Голосіївська
"просп. Правди, 45А",4 кімнати,85 м²,26 217 грн,"Подільський,",
вул. Садова,3 кімнати,90 м²,44 944 грн,"Дарницький,",Славутич
"вул. Назарівська, 23",2 кімнати,60 м²,24 345 грн,"Голосіївський,",
"вул. Академика Філатова, 2\1",3 кімнати,80 м²,29 963 грн,"Печерський,","Палац ""Україна"""
"вул. Академика Філатова, 53",1 кімната,46 м²,29 963 грн,"Печерський,","Палац ""Україна"""
"вул. Предславинська, 42А",2 кімнати,63 м²,33 708 грн,,
"вул. Буслівська, 15",3 кімнати,110 м²,28 000 грн,"Печерський,",Лук'янівська
"вул. Митрополита Василя Липківського, 16А",3 кімнати,76 м²,29 963 грн,"Солом'янський,",
"узвіз Миколи Амосова, 4",3 кімнати,80 м²,26 217 грн,"Солом'янський,",Олімпійська
"просп. Правди, 45А",2 кімнати,69 м²,28 090 грн,",",
"вул. Предславинська, 42А",2 кімнати,56 м²,24 000 грн,,
"вул. Олени Пчілки, 8",2 кімнати,69 м²,18 500 грн,"Дарницький,",
"просп. Оболонський, 26",1 кімната,40 м²,21 536 грн,"Оболонський,",Мінська
"вул. Деміївська, 13",2 кімнати,55 м²,26 217 грн,"Голосіївський,",
вул. Маккейна Джона,4 кімнати,123 м²,168 539 грн,"Печерський,",Либідська
вул. Саперне Поле,3 кімнати,78 м²,101 124 грн,"Печерський,",Печерська
вул. Золотоустівська,4 кімнати,163 м²,56 180 грн,"Шевченківський,",
вул. Драгомирова,3 кімнати,156 м²,131 086 грн,"Печерський,",Печерська
вул. Предславинська,1 кімната,44 м²,24 000 грн,"Печерський,",Либідська
пров. Докучаєвський,2 кімнати,90 м²,63 670 грн,"Солом'янський,",Олімпійська
вул. Василя Тютюнника,1 кімната,55 м²,52 434 грн,"Печерський,","Палац ""Україна"""
"вул. Ділова, 1/2",2 кімнати,55 м²,44 944 грн,"Печерський,",
"вул. Предславинська, 42А",2 кімнати,56 м²,33 708 грн,,Либідська
"вул. Предславинська, 53",3 кімнати,85 м²,56 180 грн,"Печерський,",
"вул. Михайла Бойчука, 41",1 кімната,35 м²,29 925 грн,"Печерський,",Дружби народів
вул. Левка Лук'яненка,1 кімната,35 м²,22 472 грн,"Оболонський,",Оболонь
"бул. Кольцова, 14Л",3 кімнати,125 м²,28 000 грн,"Святошинський,",Академмістечко
"вул. Ділова, 2",5 кімнат,230 м²,93 633 грн,"Печерський,",
"вул. Маккейна Джона, 26",4 кімнати,125 м²,59 925 грн,"Печерський,",
"вул. Банкова, 1/10",3 кімнати,90 м²,41 198 грн,"Печерський,",
"вул. Маккейна Джона, 7",2 кімнати,42 м²,29 963 грн,"Печерський,",
"вул. Драгомирова, 17",3 кімнати,87 м²,59 925 грн,"Печерський,",
"вул. Шота Руставелі, 44",4 кімнати,230 м²,67 416 грн,"Печерський,",Палац спорту
"просп. Володимира Івасюка, 8",3 кімнати,130 м²,28 090 грн,"Оболонський,",Дніпро
"бул. Лесі Українки, 7А",1 кімната,105 м²,48 689 грн,"Печерський,",
"вул. Інститутська, 18А",4 кімнати,200 м²,131 086 грн,"Печерський,",
"наб. Дніпровська, 14Б",3 кімнати,85 м²,35 581 грн,"Дарницький,",Лук'янівська
"вул. Драгомирова, 16",3 кімнати,115 м²,56 180 грн,"Печерський,",
"вул. Коновальця Євгена, 36В",3 кімнати,113 м²,90 000 грн,"Печерський,",
"вул. Ділова, 1/2",1 кімната,60 м²,37 000 грн,"Печерський,",
"вул. Саперне Поле, 14/55",2 кімнати,72 м²,43 000 грн,"Печерський,",Дружби народів
"вулиця Генерала Шаповала, 2А",4 кімнати,155 м²,37 453 грн,"Солом'янський,",
"вул. Перемоги, 5В",1 кімната,86 м²,39 500 грн,"Голосіївський,",
"просп. Володимира Івасюка, 6",3 кімнати,95 м²,33 708 грн,"Оболонський,",
"вул. Драгомирова, 12",1 кімната,222 м²,337 079 грн,"Печерський,",Дружби народів
"вул. Антоновича, 44",2 кімнати,67 м²,93 633 грн,"Печерський,",
"вул. Предславинська, 42А",1 кімната,53 м²,30 000 грн,,Либідська
"просп. Берестейський(Перемоги), 121Б",3 кімнати,98 м²,20 599 грн,"Святошинський,",Святошин
"вул. Юрія Іллєнка, 18Б",3 кімнати,146 м²,89 888 грн,"Шевченківський,",
"вул. Ділова, 1/2",2 кімнати,50 м²,44 944 грн,"Печерський,",
"вул. Курганівська, 3",2 кімнати,50 м²,35 000 грн,"Печерський,",Дружби народів
"просп. Володимира Івасюка, 10А",3 кімнати,117 м²,25 000 грн,"Оболонський,",Оболонь
"вул. Кудряшова, 16",5 кімнат,280 м²,93 633 грн,"Солом'янський,",Вокзальна
"наб. Дніпровська, 18",2 кімнати,43 м²,18 500 грн,"Дарницький,",Осокорки
"вул. Драгомирова, 10/10",3 кімнати,86 м²,22 472 грн,"Печерський,",
"вул. Вишгородська, 45",1 кімната,51 м²,14 000 грн,"Подільський,",
"вул. Раїси Окіпної, 10Б",3 кімнати,110 м²,14 000 грн,"Дніпровський,",Лівобережна
"вул. Осокорська, 2А",4 кімнати,120 м²,30 000 грн,"Дарницький,",Славутич
"вул. Воскресенська, 14Б",1 кімната,49 м²,12 000 грн,"Дніпровський,",Дарниця
"Саперное поле, 3",2 кімнати,72 м²,74 906 грн,"Печерський,",
"Деревлянская, 16",3 кімнати,65 м²,12 000 грн,"Шевченківський,",Лук'янівська
"вул. Драгоманова, 42",2 кімнати,52 м²,12 500 грн,"Дарницький,",Позняки
"вул. Сергія Колоса, 2",3 кімнати,100 м²,93 633 грн,"Печерський,",
"пров. Балтійський, 23",2 кімнати,65 м²,13 500 грн,"Оболонський,",Оболонь
"вул. Драгомирова, 1-20а",3 кімнати,150 м²,71 161 грн,"Печерський,",Дніпро
"вул. Коновальця Євгена, 44А",1 кімната,70 м²,41 198 грн,"Печерський,",Печерська
"узвіз Кудрявський, 3а",4 кімнати,140 м²,44 944 грн,"Шевченківський,",Золоті ворота
"вул. Драгомирова, 1-20а",3 кімнати,128 м²,56 180 грн,"Печерський,",Дніпро
"вул. Володимирська, 79",3 кімнати,157 м²,44 944 грн,"Голосіївський,",
"вул. Глибочицька, 32Б",5 кімнат,190 м²,71 161 грн,"Подільський,",
"Днепровская Набережная, 1",2 кімнати,130 м²,56 180 грн,"Дніпровський,",Дніпро
"вул. Дмитрівська, 80",3 кімнати,100 м²,39 326 грн,"Шевченківський,",Лук'янівська
"вул. Маккейна Джона, 7",2 кімнати,75 м²,44 944 грн,"Печерський,",
"пров. Феодосійський, 14",2 кімнати,75 м²,17 228 грн,"Голосіївський,",
"вул. Дмитрівська, 75",3 кімнати,111 м²,30 337 грн,"Шевченківський,",Лук'янівська
"вул. Голосіївська, 27",3 кімнати,77 м²,28 090 грн,"Шевченківський,",
"вул. Золотоустівська, 47/49",2 кімнати,70 м²,37 453 грн,"Шевченківський,",
"вул. Миколи Пимоненка, 4",3 кімнати,86 м²,27 341 грн,"Шевченківський,",
"вул. Богдана Хмельницького (Вигурівщина), 39",1 кімната,87 м²,33 708 грн,"Шевченківський,",
"вул. Богдана Хмельницького (Вигурівщина), 68",2 кімнати,70 м²,37 453 грн,"Шевченківський,",Золоті ворота
"вул. В'ячеслава Чорновола, 20",2 кімнати,100 м²,30 712 грн,"Шевченківський,",Лук'янівська
"вул. Деміївська, 18",2 кімнати,64 м²,29 963 грн,"Голосіївський,",
"вул. Ямська, 52",1 кімната,60 м²,30 337 грн,"Голосіївський,",
"вул. Василя Тютюнника, 22/26",3 кімнати,90 м²,37 453 грн,"Печерський,",
"вул. Деміївська, 13",3 кімнати,80 м²,28 090 грн,"Голосіївський,",
"вул. Драгомирова, 2А",1 кімната,60 м²,35 581 грн,"Печерський,",
"вул. Драгомирова, 2А",2 кімнати,60 м²,37 453 грн,"Печерський,",
"Інститутська вулиця, 15/5",3 кімнати,90 м²,29 963 грн,"Печерський,",
"вул. Драгомирова, 16",2 кімнати,50 м²,37 453 грн,"Печерський,",
"вул. Академика Філатова, 2\1",2 кімнати,48 м²,29 963 грн,"Печерський,",
"вул. Академика Філатова, 2\1",3 кімнати,95 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 12",1 кімната,47 м²,24 345 грн,"Печерський,",
"вул. Панаса Мирного, 17",2 кімнати,90 м²,29 963 грн,"Печерський,",
"вул. Драгомирова, 5",2 кімнати,99 м²,33 708 грн,",",
"вул. Саперне Поле, 12",2 кімнати,47 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 15А",1 кімната,50 м²,37 453 грн,"Печерський,",
"вул. Академіка Богомольця, 3",2 кімнати,54 м²,37 453 грн,"Печерський,",
"вул. Саперне Поле, 12",1 кімната,48 м²,33 708 грн,"Печерський,",
"вул. Михайла Грушевського, 34/1",2 кімнати,48 м²,26 217 грн,"Печерський,",
"вул. Коновальця Євгена, 32Г",3 кімнати,130 м²,37 453 грн,"Печерський,",Печерська
"вул. Ризька, 73А",2 кімнати,86 м²,37 453 грн,"Шевченківський,",
"вул. Степана Руданського, 4/6",3 кімнати,99 м²,20 000 грн,"Шевченківський,",Сирець
"вул. Саперне Поле, 5",2 кімнати,90 м²,35 581 грн,"Печерський,",
"вул. Княжий Затон, 2/30",2 кімнати,71 м²,18 727 грн,"Дарницький,",Позняки
"вул. Коперника, 12Д",3 кімнати,120 м²,21 723 грн,"Шевченківський,",
"вул. Саксаганського, 37К",3 кімнати,100 м²,138 577 грн,"Голосіївський,",Олімпійська
"вул. Антоновича, 72",4 кімнати,165 м²,97 378 грн,"Голосіївський,",Олімпійська
"Липковского  Урицкого, 16",1 кімната,50 м²,37 453 грн,"Солом'янський,",Вокзальна
"вул. Велика Житомирська, 8А",5 кімнат,380 м²,205 992 грн,"Шевченківський,",Житомирська
"вул. Олеся Гончара, 35",3 кімнати,175 м²,131 086 грн,"Шевченківський,",Золоті ворота
"вул. Антоновича, 91/14",5 кімнат,200 м²,112 322 грн,"Голосіївський,",Олімпійська
"вул. Дмитрівська, 13А",4 кімнати,148 м²,82 397 грн,"Шевченківський,",Вокзальна
"вул. Василя Тютюнника, 28А",1 кімната,50 м²,37 453 грн,"Печерський,","Палац ""Україна"""
"вул. Пирогова, 2/37Б",5 кімнат,178 м²,131 086 грн,"Шевченківський,",
"наб. Дніпровська, 18А",2 кімнати,55 м²,48 689 грн,"Дарницький,",Осокорки
"просп. Берестейський(Перемоги), 42",3 кімнати,75 м²,56 180 грн,"Шевченківський,",Політехнічний інститут
"вул. Болсуновська, 2",4 кімнати,260 м²,468 165 грн,"Печерський,",Дніпро
"вул. Пирогова, 2",3 кімнати,87 м²,108 614 грн,"Шевченківський,",Золоті ворота
"вул. Деміївська, 33",4 кімнати,180 м²,217 228 грн,"Голосіївський,",
"бул. Лесі Українки, 7А",2 кімнати,60 м²,93 633 грн,"Печерський,",
"вул. Ділова, 1/2",2 кімнати,80 м²,56 180 грн,"Печерський,",Олімпійська
"вул. Шолуденка, 1В",1 кімната,43 м²,33 708 грн,"Шевченківський,",Політехнічний інститут
"вул. Богдана Хмельницького, 58А",5 кімнат,220 м²,374 532 грн,"Шевченківський,",Золоті ворота
"просп. Володимира Івасюка, 24А",4 кімнати,171 м²,78 652 грн,"Оболонський,",Оболонь
"Болсуновская Струтинского Сергея, 2",2 кімнати,150 м²,374 532 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 20",4 кімнати,310 м²,749 064 грн,"Печерський,",Дружби народів
"Бендукидзе Кахи Жилая, 2",2 кімнати,55 м²,56 180 грн,"Печерський,",
вул. Велика Житомирська,4 кімнати,117 м²,37 079 грн,"Шевченківський,",Золоті ворота
"Сечевых Стрельцов Артема, 40/1",5 кімнат,196 м²,74 906 грн,"Шевченківський,",
"вул. Панаса Мирного, 28",5 кімнат,210 м²,63 670 грн,"Печерський,",
"вул. Тургенєвська, 46/11",4 кімнати,233 м²,149 813 грн,"Шевченківський,",Золоті ворота
"вул. Михайла Коцюбинського, 9",6 кімнат,250 м²,93 633 грн,"Шевченківський,",Університет
"Болсуновская Струтинского Сергея, 2",2 кімнати,100 м²,112 360 грн,"Печерський,",Дружби народів
"бул. Лесі Українки, 7В",3 кімнати,81 м²,97 378 грн,"Печерський,",
"Саперное поле, 3",1 кімната,61 м²,37 453 грн,"Печерський,",Дружби народів
"вул. Деміївська, 33",4 кімнати,180 м²,187 266 грн,"Голосіївський,",
"вул. Івана Франка, 4",3 кімнати,105 м²,131 086 грн,"Шевченківський,",
"вул. Прорізна, 10",1 кімната,42 м²,22 472 грн,"Шевченківський,",Хрещатик
Драгомирова Михаила,3 кімнати,125 м²,101 124 грн,"Печерський,",Дружби народів
"вул. Деміївська, 29",3 кімнати,102 м²,74 906 грн,"Голосіївський,",Голосіївська
"Драгомирова Михаила, 16Б",3 кімнати,120 м²,67 416 грн,"Печерський,",Печерська
"вул. Рейтарська, 21",2 кімнати,65 м²,56 180 грн,"Шевченківський,",Золоті ворота
"вул. Івана Франка, 3",2 кімнати,60 м²,56 180 грн,"Шевченківський,",Золоті ворота
"Саперное поле, 3",3 кімнати,125 м²,187 266 грн,"Печерський,","Палац ""Україна"""
"Саперное поле, 3",2 кімнати,55 м²,46 816 грн,"Печерський,","Палац ""Україна"""
"Драгомирова Михаила, 5",3 кімнати,138 м²,63 670 грн,"Печерський,",Дружби народів
"Саперное поле, 3",3 кімнати,140 м²,112 360 грн,"Печерський,",Либідська
"Деловая Димитрова, 1/2",3 кімнати,79 м²,82 397 грн,"Печерський,",Олімпійська
"Коновальца Евгения Щорса Печерск, 44А",3 кімнати,175 м²,48 689 грн,"Печерський,",Печерська
"вул. Тимірязівська, 30",6 кімнат,570 м²,561 798 грн,"Печерський,",
"Кловский, 7А",3 кімнати,160 м²,138 577 грн,"Печерський,",Кловська
вул. Пирогова,2 кімнати,100 м²,74 906 грн,"Шевченківський,",Університет
"вул. Маккейна Джона, 7",3 кімнати,100 м²,56 180 грн,"Печерський,",
"Драгомирова Михаила, 14",3 кімнати,151 м²,82 397 грн,"Печерський,",Дружби народів
"Голосеевский 40-летия октября, 58",3 кімнати,105 м²,44 944 грн,"Голосіївський,",Голосіївська
вул. Жилянська,6 кімнат,280 м²,60 000 грн,"Шевченківський,",
"Черновола Вячеслава, 25",3 кімнати,135 м²,37 453 грн,"Шевченківський,",Лук'янівська
"вул. Велика Васильківська, 25",2 кімнати,110 м²,48 689 грн,"Печерський,",
"Драгомирова Михаила, 3",3 кімнати,90 м²,67 416 грн,"Печерський,",Хрещатик
"пров. Лабораторний, 7",2 кімнати,100 м²,149 813 грн,"Печерський,",
"Драгомирова Михаила, 18",3 кімнати,90 м²,44 944 грн,"Печерський,",Дружби народів
"вул. Івана Мазепи, 10",3 кімнати,200 м²,86 142 грн,"Печерський,",Арсенальна
"Драгомирова Михаила, 11",2 кімнати,160 м²,119 850 грн,"Печерський,",
"Анри Барбюса  Тютюнника, 37/1",2 кімнати,80 м²,74 906 грн,"Печерський,",
"бул. Тараса Шевченка, 30А",4 кімнати,182 м²,187 228 грн,"Шевченківський,",Тараса Шевченка
"Грушевского Михаила, 34А",2 кімнати,77 м²,44 944 грн,"Печерський,",Арсенальна
"вул. Чавдар Єлизавети, 1",4 кімнати,160 м²,59 925 грн,"Дарницький,",Осокорки
"вул. Маккейна Джона, 26",2 кімнати,85 м²,52 434 грн,"Печерський,",Дружби народів
"вул. Деміївська, 29",3 кімнати,107 м²,108 614 грн,"Голосіївський,",
"Грушевского Михаила, 9А",3 кімнати,200 м²,149 813 грн,"Печерський,",Арсенальна
"Коновальца Евгения Щорса Печерск, 26А",2 кімнати,100 м²,74 906 грн,"Печерський,",
"пров. Щорса, 32Г",5 кімнат,266 м²,183 521 грн,"Печерський,",Печерська
"вул. Воздвиженська, 38",5 кімнат,175 м²,131 086 грн,"Подільський,",
"вул. Якіра, 10",5 кімнат,540 м²,131 086 грн,"Шевченківський,",Лук'янівська
"пл. Льва Толстого, 29",3 кімнати,172 м²,131 086 грн,"Печерський,",
"пл. Льва Толстого, 29",3 кімнати,155 м²,131 086 грн,"Шевченківський,",
"наб. Оболонська, 24",5 кімнат,330 м²,168 539 грн,"Оболонський,",Дніпро
"вул. Рейтарська, 31/16",4 кімнати,152 м²,93 633 грн,"Шевченківський,",
"пров. Докучаєвський, 8",7 кімнат,330 м²,224 719 грн,"Солом'янський,",Олімпійська
"вул. Драгомирова, 15А",4 кімнати,126 м²,168 539 грн,"Печерський,",
"бул. Тараса Шевченка, 11А",3 кімнати,180 м²,131 086 грн,"Шевченківський,",Хрещатик
"вул. Пушкінська, 21",3 кімнати,75 м²,50 562 грн,"Шевченківський,",Хрещатик
"вул. Володимирська, 51/53",4 кімнати,130 м²,56 180 грн,"Шевченківський,",Золоті ворота
"вул. Буслівська, 12",2 кімнати,70 м²,131 086 грн,"Печерський,",
"вул. Старонаводницька, 13",4 кімнати,240 м²,187 266 грн,"Печерський,",
"пров. Щорса, 44А",2 кімнати,70 м²,44 944 грн,"Печерський,",
"вул. Богдана Хмельницького, 41",3 кімнати,146 м²,74 906 грн,"Шевченківський,",Тараса Шевченка
"Саперное поле, 5А",3 кімнати,80 м²,119 850 грн,"Печерський,",Либідська
"вул. Бульварно-Кудрявська, 13/19",3 кімнати,140 м²,112 360 грн,"Шевченківський,",
"вул. Жилянська, 7",4 кімнати,245 м²,262 172 грн,"Шевченківський,",
"вул. Тургенєвська, 52-58",4 кімнати,170 м²,93 633 грн,"Шевченківський,",Лук'янівська
"вул. Тургенєвська, 52/58",4 кімнати,160 м²,67 416 грн,"Шевченківський,",
"вул. Круглоуніверситетська, 3/5",5 кімнат,240 м²,142 322 грн,"Печерський,",Університет
"вул. Драгомирова, 9",4 кімнати,160 м²,205 992 грн,"Печерський,",
"вул. Павлівська, 26",4 кімнати,178 м²,82 397 грн,"Шевченківський,",Лук'янівська
"вул. Саперне Поле, 5",2 кімнати,80 м²,50 562 грн,"Печерський,",Дружби народів
"вул. Академика Філатова, 53",3 кімнати,100 м²,65 543 грн,"Печерський,",Либідська
"вул. Михайла Грушевського, 9А",3 кімнати,200 м²,149 813 грн,"Печерський,",Арсенальна
"вул. Жилянська, 68",2 кімнати,55 м²,44 944 грн,"Шевченківський,",Університет
"вул. Буслівська, 12",4 кімнати,120 м²,116 105 грн,"Печерський,",Дружби народів
"вул. Буслівська, 12",4 кімнати,150 м²,104 869 грн,"Печерський,",
"вул. Січових Стрільців, 52а/52д",4 кімнати,130 м²,41 198 грн,"Шевченківський,",Лук'янівська
"вул. Саперне Поле, 5",2 кімнати,60 м²,52 434 грн,"Печерський,",Дружби народів
"узвіз Кловський, 7",3 кімнати,130 м²,73 034 грн,"Печерський,",Кловська
"вул. Ділова, 1/2",3 кімнати,80 м²,86 142 грн,"Печерський,",Олімпійська
"вул. Ділова, 1/2",3 кімнати,107 м²,138 577 грн,"Печерський,",Олімпійська
"вул. Антоновича, 74-78",2 кімнати,60 м²,41 198 грн,"Голосіївський,",Олімпійська
"вул. Круглоуніверситетська, 3-5",3 кімнати,128 м²,74 906 грн,"Печерський,",Печерська
"вул. Предславинська, 55А",3 кімнати,85 м²,56 180 грн,"Печерський,",Либідська
"вул. Деміївська, 62",3 кімнати,105 м²,82 397 грн,"Голосіївський,",Деміївська
"вул. Ділова, 1/2",3 кімнати,109 м²,112 360 грн,"Печерський,",Олімпійська
"вул. Лютеранська, 7-12",2 кімнати,100 м²,86 142 грн,"Печерський,",Майдан Незалежності
"бул. Лесі Українки, 8",2 кімнати,60 м²,56 180 грн,"Печерський,",Печерська
"вул. Деміївська, 62",3 кімнати,90 м²,58 052 грн,"Голосіївський,",Голосіївська
"вул. Саперне Поле, 5",2 кімнати,60 м²,51 748 грн,"Печерський,",Дружби народів
"вул. Коновальця Євгена, 34",3 кімнати,76 м²,37 453 грн,"Печерський,",Печерська
"вул. Коновальця Євгена, 34",3 кімнати,76 м²,37 453 грн,"Печерський,",Печерська
"вул. Драгомирова, 18",3 кімнати,150 м²,82 397 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",4 кімнати,155 м²,93 633 грн,"Печерський,",Дружби народів
