Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"вул. Максимовича, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська
"вул. Януша Корчака, 64",3 кімнати,70 м²,12 000 грн,"Шевченківський,",Нивки
"просп. Генерала Ватутіна, 8Г",1 кімната,46 м²,11 000 грн,"Дніпровський,",Почайна(Петрівка)
"просп. Свободи, 15/1",1 кімната,45 м²,9 000 грн,"Подільський,",
"вул. Максимовича, 3Г",2 кімнати,89 м²,40 000 грн,"Голосіївський,",Васильківська
"вул. Дмитрівська, 69",4 кімнати,170 м²,40 000 грн,"Шевченківський,",Лук'янівська
"вул. Рейтарська, 31/16",4 кімнати,300 м²,187 266 грн,"Шевченківський,",Золоті ворота
"вул. Ревуцького, 40Б",2 кімнати,66 м²,17 000 грн,"Дарницький,",Харківська
"вул. Івана Мазепи, 11А",3 кімнати,64 м²,22 000 грн,"Печерський,",Арсенальна
"вул. Солом'янська, 15А",2 кімнати,80 м²,22 472 грн,"Солом'янський,",
"вул. Солом'янська, 20В",3 кімнати,82 м²,24 345 грн,"Солом'янський,",Олімпійська
"просп. Лісовий, 5",2 кімнати,50 м²,8 000 грн,"Деснянський,",Лісова
"вул. Софіївська, 16/16",2 кімнати,65 м²,54 307 грн,"Печерський,",Золоті ворота
вул. Софіївська,2 кімнати,65 м²,48 689 грн,"Шевченківський,",Золоті ворота
"вул. Лейпцизька, 13",3 кімнати,100 м²,48 689 грн,"Печерський,",Золоті ворота
"вул. Мостицька, 10",3 кімнати,77 м²,15 000 грн,"Подільський,",
"вул. Маккейна Джона, 1",1 кімната,46 м²,24 345 грн,"Печерський,",Либідська
"вул. Коновальця Євгена, 26А",3 кімнати,106 м²,74 906 грн,"Печерський,",Печерська
"вул. Челябінська, 1",1 кімната,35 м²,7 490 грн,"Дніпровський,",Лівобережна
"просп. Голосіївський, 60",2 кімнати,100 м²,37 453 грн,"Голосіївський,",Деміївська
"вулиця Старонаводницька, 4В",3 кімнати,113 м²,52 434 грн,"Печерський,",
вул. Маккейна Джона,1 кімната,55 м²,41 198 грн,"Печерський,",
"вул. Микільсько-Слобідська, 6В",3 кімнати,95 м²,19 000 грн,"Дніпровський,",Лівобережна
"вул. Панаса Мирного, 16/13",3 кімнати,135 м²,51 181 грн,"Печерський,",Печерська
"бул. Перова, 24Б",2 кімнати,48 м²,6 500 грн,"Дніпровський,",Дарниця
"просп. Маяковського Володимира, 54/9",1 кімната,43 м²,7 000 грн,"Деснянський,",
"вул. Софії Русової, 7",1 кімната,37 м²,8 000 грн,"Дарницький,",Осокорки
"вул. Василя Тютюнника, 37/1",4 кімнати,160 м²,101 124 грн,"Печерський,",
