Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес
"вул. Драгомирова, 4Б",1 кімната,45 м²,33 708 грн,"Печерський,",Дружби народів,"{'lat': 50.4116492, 'lng': 30.5446806}"
"вул. Предславинська, 40",4 кімнати,105 м²,56 142 грн,,,"{'lat': 50.4161335, 'lng': 30.525454}"
"вул. Раїси Окіпної, 18",3 кімнати,150 м²,93 633 грн,"Дніпровський,",Либідська,"{'lat': 50.4479346, 'lng': 30.5886259}"
"вул. Отто Шмідта, 14А",2 кімнати,60 м²,44 944 грн,"Подільський,",Поштова площа,"{'lat': 50.4698214, 'lng': 30.491006}"
"вул. Драгомирова, 20",3 кімнати,90 м²,52 434 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Академика Філатова, 53",3 кімнати,79 м²,29 963 грн,"Печерський,",,"{'lat': 50.41429, 'lng': 30.5324443}"
"вул. Драгомирова, 18",4 кімнати,120 м²,74 906 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Деміївська, 13",4 кімнати,180 м²,48 689 грн,"Голосіївський,",,"{'lat': 50.4038045, 'lng': 30.5138064}"
"вул. Василя Тютюнника, 2/1",3 кімнати,110 м²,44 944 грн,"Печерський,",,"{'lat': 50.4298959, 'lng': 30.5214839}"
"вул. Глибочицька, 73",2 кімнати,87 м²,41 198 грн,"Подільський,",Контрактова площа,"{'lat': 50.4632151, 'lng': 30.5039694}"
вул. Звіринецька,2 кімнати,92 м²,27 000 грн,"Печерський,",,"{'lat': 50.4090216, 'lng': 30.5542795}"
"вул. Срібнокільська, 3В",2 кімнати,93 м²,20 000 грн,"Дарницький,",,"{'lat': 50.4004467, 'lng': 30.6300154}"
"вул. Болсуновська, 2",2 кімнати,73 м²,46 816 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Болсуновська, 2",2 кімнати,80 м²,74 906 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Михайла Бойчука, 41-43",2 кімнати,52 м²,30 000 грн,"Печерський,",Дружби народів,"{'lat': 50.4060956, 'lng': 30.552806}"
"вул. Драгомирова, 18",4 кімнати,145 м²,89 888 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Ділова, 2А",3 кімнати,80 м²,86 142 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Саперне Поле, 5",1 кімната,47 м²,29 963 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Горького, 44",1 кімната,50 м²,59 925 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}"
"вул. Новоселицька, 4",2 кімнати,88 м²,74 906 грн,"Печерський,",,"{'lat': 50.40895800000001, 'lng': 30.555439}"
"вул. Ділова, 1/2",3 кімнати,80 м²,86 142 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"бул. Лесі Українки, 8",1 кімната,60 м²,48 689 грн,"Печерський,",Палац спорту,"{'lat': 50.4364836, 'lng': 30.5273173}"
"вул. Болсуновська, 2",2 кімнати,73 м²,46 816 грн,"Печерський,",Дружби народів,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Софіївська, 5К",5 кімнат,146 м²,101 124 грн,"Печерський,",Майдан Незалежності,"{'lat': 50.4513665, 'lng': 30.5206447}"
"вул. Академика Філатова, 53",2 кімнати,72 м²,37 453 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}"
"просп. Берестейський(Перемоги), 5Б",2 кімнати,85 м²,44 944 грн,"Шевченківський,",,"{'lat': 50.44703819999999, 'lng': 30.48668199999999}"
"вул. Раїси Окіпної, 18",3 кімнати,120 м²,74 906 грн,"Дніпровський,",,"{'lat': 50.4479346, 'lng': 30.5886259}"
"вул. Драгомирова, 11",1 кімната,45 м²,52 434 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Предславинська, 42А",2 кімнати,50 м²,44 944 грн,"Печерський,",,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Інститутська, 18А",3 кімнати,150 м²,93 633 грн,"Печерський,",Хрещатик,"{'lat': 50.4452794, 'lng': 30.5316717}"
"вул. Глибочицька, 73-77",2 кімнати,87 м²,41 198 грн,"Шевченківський,",Контрактова площа,"{'lat': 50.4632151, 'lng': 30.5039694}"
"вул. Патріса Лумумби, 12",3 кімнати,85 м²,67 416 грн,"Печерський,",Дружби народів,"{'lat': 50.41983380000001, 'lng': 30.5329927}"
"вул. Ділова, 1/2",2 кімнати,70 м²,67 416 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Деміївська, 62",2 кімнати,85 м²,56 180 грн,"Голосіївський,",Голосіївська,"{'lat': 50.3987853, 'lng': 30.4995792}"
"вул. Предславинська, 42А",3 кімнати,116 м²,82 397 грн,"Печерський,",,"{'lat': 50.4156007, 'lng': 30.525237}"
,3 кімнати,170 м²,93 633 грн,"Печерський,",Печерська,"{'lat': 50.4501, 'lng': 30.5234}"
"вул. Буслівська, 12",3 кімнати,121 м²,119 850 грн,"Печерський,",Видубичі,"{'lat': 50.4073727, 'lng': 30.5566101}"
"вул. Патріса Лумумби, 12",4 кімнати,220 м²,149 813 грн,"Печерський,",Дружби народів,"{'lat': 50.41983380000001, 'lng': 30.5329927}"
"вул. Драгомирова, 2А",3 кімнати,110 м²,56 180 грн,"Печерський,",,"{'lat': 50.41358049999999, 'lng': 30.5445166}"
"вул. Коновальця Євгена, 26А",2 кімнати,65 м²,56 180 грн,"Печерський,",,"{'lat': 50.42695519999999, 'lng': 30.5307143}"
"вул. Голосіївська, 13",4 кімнати,140 м²,41 198 грн,"Голосіївський,",,"{'lat': 50.4000243, 'lng': 30.5199515}"
вул. Предславинська,2 кімнати,72 м²,37 453 грн,"Печерський,",,"{'lat': 50.4216194, 'lng': 30.5227556}"
"вул. Саксаганського, 37К",2 кімнати,65 м²,54 307 грн,"Голосіївський,",,"{'lat': 50.4354538, 'lng': 30.5125045}"
"вул. Драгомирова, 18",3 кімнати,88 м²,59 925 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Коновальця Євгена, 34",2 кімнати,55 м²,35 581 грн,"Печерський,",,"{'lat': 50.4267967, 'lng': 30.5344145}"
"вул. Михайла Бойчука, 17",2 кімнати,75 м²,37 079 грн,"Печерський,",Дружби народів,"{'lat': 50.412752, 'lng': 30.550927}"
"вул. Саперне Поле, 5",3 кімнати,90 м²,33 708 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Деміївська, 62",2 кімнати,85 м²,56 180 грн,"Голосіївський,",Голосіївська,"{'lat': 50.3987853, 'lng': 30.4995792}"
"вул. Саксаганського, 57Б",4 кімнати,120 м²,59 925 грн,"Печерський,",Печерська,"{'lat': 50.435677, 'lng': 30.5076581}"
"вул. Драгомирова, 9",4 кімнати,120 м²,60 000 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}"
"вул. Драгомирова, 16",3 кімнати,115 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Олеся Гончара, 35",3 кімнати,101 м²,104 869 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4510787, 'lng': 30.5074115}"
"вул. Шота Руставелі, 11",4 кімнати,150 м²,44 944 грн,"Печерський,",Палац спорту,"{'lat': 50.43900259999999, 'lng': 30.5208545}"
"бул. Тараса Шевченка, 27Б",4 кімнати,200 м²,108 614 грн,"Шевченківський,",Університет,"{'lat': 50.445198, 'lng': 30.4972789}"
вул. Сікорського,2 кімнати,78 м²,25 843 грн,"Шевченківський,",,"{'lat': 50.4651963, 'lng': 30.4281726}"
"узвіз Кловський, 7А",2 кімнати,130 м²,74 906 грн,"Печерський,",Кловська,"{'lat': 50.4389157, 'lng': 30.5395874}"
"вул. Академика Філатова, 53",3 кімнати,102 м²,74 906 грн,"Печерський,",,"{'lat': 50.41429, 'lng': 30.5324443}"
"вул. Коновальця Євгена, 32",1 кімната,130 м²,37 453 грн,"Печерський,",Печерська,"{'lat': 50.4258168, 'lng': 30.53232749999999}"
"вул. Драгомирова, 16",3 кімнати,120 м²,67 416 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Буслівська, 12",3 кімнати,130 м²,112 360 грн,"Печерський,",,"{'lat': 50.4073727, 'lng': 30.5566101}"
"вул. Болсуновська, 2",2 кімнати,100 м²,74 906 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Саксаганського, 57Б",4 кімнати,120 м²,93 633 грн,"Печерський,",,"{'lat': 50.435677, 'lng': 30.5076581}"
"вул. Василя Тютюнника, 51/2",2 кімнати,80 м²,50 562 грн,"Печерський,",,"{'lat': 50.4170334, 'lng': 30.528746}"
вул. Предславинська,2 кімнати,60 м²,52 434 грн,,,"{'lat': 50.4216194, 'lng': 30.5227556}"
"вул. Архітектора Городецького, 12",4 кімнати,200 м²,112 360 грн,"Печерський,",Хрещатик,"{'lat': 50.44639000000001, 'lng': 30.526857}"
"вул. Саперне Поле, 6/1",1 кімната,60 м²,28 090 грн,"Печерський,",,"{'lat': 50.4204577, 'lng': 30.5304928}"
"узвіз Андріївський, 2Б",2 кімнати,78 м²,41 198 грн,"Подільський,",Контрактова площа,"{'lat': 50.4621465, 'lng': 30.5174651}"
"вул. Болсуновська, 2",3 кімнати,130 м²,71 161 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Предславинська, 42А",2 кімнати,50 м²,44 944 грн,,,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Саперне Поле, 5",2 кімнати,60 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Деміївська, 62",2 кімнати,62 м²,48 689 грн,"Голосіївський,",,"{'lat': 50.3987853, 'lng': 30.4995792}"
"Владимирская ул., 9",2 кімнати,70 м²,41 198 грн,"Печерський,",Контрактова площа,"{'lat': 50.4563228, 'lng': 30.5178228}"
"узвіз Кловський, 7А",3 кімнати,130 м²,74 906 грн,"Печерський,",Кловська,"{'lat': 50.4389157, 'lng': 30.5395874}"
"вул. Василя Тютюнника, 37/1",3 кімнати,110 м²,48 689 грн,"Печерський,",,"{'lat': 50.421121, 'lng': 30.5263204}"
"вул. Коновальця Євгена, 34",4 кімнати,145 м²,74 906 грн,",",,"{'lat': 50.4267967, 'lng': 30.5344145}"
"вул. Деміївська, 62",2 кімнати,72 м²,52 434 грн,"Голосіївський,",,"{'lat': 50.3987853, 'lng': 30.4995792}"
"вул. Драгомирова, 20",3 кімнати,121 м²,65 543 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"бул. Лесі Українки, 7А",2 кімнати,105 м²,31 835 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
"вул. Маккейна Джона, 7",2 кімнати,48 м²,26 217 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}"
"вул. Драгомирова, 11",2 кімнати,45 м²,52 434 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Саперне Поле, 3",3 кімнати,95 м²,56 180 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"бул. Лесі Українки, 7А",2 кімнати,105 м²,44 944 грн,"Печерський,",Кловська,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
вул. Ділова,3 кімнати,105 м²,74 906 грн,"Печерський,",Олімпійська,"{'lat': 50.4299123, 'lng': 30.5154433}"
"вул. Голосіївська, 13",4 кімнати,140 м²,41 198 грн,"Голосіївський,",,"{'lat': 50.4000243, 'lng': 30.5199515}"
"вул. Предславинська, 42А",3 кімнати,90 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Глибочицька, 32А",4 кімнати,121 м²,44 944 грн,"Шевченківський,",,"{'lat': 50.4615354, 'lng': 30.4932619}"
"вул. Деміївська, 62",2 кімнати,91 м²,37 453 грн,"Голосіївський,",,"{'lat': 50.3987853, 'lng': 30.4995792}"
"вул. Золотоустівська, 30А",3 кімнати,107 м²,52 434 грн,"Шевченківський,",,"{'lat': 50.4505902, 'lng': 30.4879963}"
"вул. Ділова, 1/2",2 кімнати,130 м²,56 180 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Драгомирова, 14",2 кімнати,70 м²,33 708 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
вул. Предславинська,3 кімнати,80 м²,44 944 грн,,,"{'lat': 50.4216194, 'lng': 30.5227556}"
"вул. Кропивницького, 12",3 кімнати,80 м²,56 180 грн,"Печерський,",Палац спорту,"{'lat': 50.4408112, 'lng': 30.5246669}"
Льва Толстого ул.,3 кімнати,170 м²,187 266 грн,"Печерський,",Площа Льва Толстого,"{'lat': 50.3604103, 'lng': 30.678406}"
"вул. Василя Тютюнника, 51/2",2 кімнати,57 м²,37 453 грн,"Печерський,",Либідська,"{'lat': 50.4170334, 'lng': 30.528746}"
"вул. Ділова, 1/2",2 кімнати,55 м²,37 453 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Професора Підвисоцького, 2",2 кімнати,49 м²,37 453 грн,"Печерський,",,"{'lat': 50.4161365, 'lng': 30.5427219}"
"вул. Професора Підвисоцького, 2",2 кімнати,70 м²,37 453 грн,"Печерський,",,"{'lat': 50.4161365, 'lng': 30.5427219}"
"пров. Лабораторний, 7",4 кімнати,110 м²,56 180 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Драгомирова, 2А",3 кімнати,110 м²,52 434 грн,"Печерський,",,"{'lat': 50.41358049999999, 'lng': 30.5445166}"
"вул. Предславинська, 53",1 кімната,49 м²,28 090 грн,,,"{'lat': 50.4163373, 'lng': 30.5264989}"
"вул. Саперне Поле, 5",2 кімнати,55 м²,56 180 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Драгомирова, 12",3 кімнати,117 м²,41 198 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}"
"вул. Академика Філатова, 53",3 кімнати,125 м²,56 180 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}"
вул. Предславинська,2 кімнати,85 м²,48 689 грн,,,"{'lat': 50.4216194, 'lng': 30.5227556}"
"вул. Драгомирова, 18",2 кімнати,65 м²,41 198 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}"
"бул. Лесі Українки, 8",1 кімната,55 м²,41 198 грн,"Печерський,",,"{'lat': 50.4364836, 'lng': 30.5273173}"
"вул. Драгомирова, 17",2 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"спуск Кловский, 7А",3 кімнати,130 м²,74 906 грн,"Печерський,",Кловська,"{'lat': 50.438286, 'lng': 30.536915}"
"вул. Предславинська, 42А",2 кімнати,85 м²,48 689 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Заньковецької, 5/2",3 кімнати,150 м²,101 124 грн,",",Майдан Незалежності,"{'lat': 50.44644599999999, 'lng': 30.525486}"
"вул. Університетська, 18",3 кімнати,95 м²,37 453 грн,"Печерський,",Хрещатик,"{'lat': 50.4180153, 'lng': 30.483581}"
"вул. Маккейна Джона, 1",4 кімнати,120 м²,123 595 грн,"Печерський,",Либідська,"{'lat': 50.4139129, 'lng': 30.5264399}"
"вул. Шота Руставелі, 11",4 кімнати,150 м²,44 944 грн,"Печерський,",Палац спорту,"{'lat': 50.43900259999999, 'lng': 30.5208545}"
"вул. Ділова, 1/2",2 кімнати,60 м²,37 453 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Академика Філатова, 53",1 кімната,57 м²,37 453 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}"
"вул. Горького, 44",1 кімната,50 м²,59 925 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}"
"вул. Коновальця Євгена, 44А",1 кімната,70 м²,37 453 грн,"Печерський,",,"{'lat': 50.4232239, 'lng': 30.5385719}"
"вул. Драгомирова, 14",3 кімнати,150 м²,82 397 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Антоновича, 74-78",2 кімнати,60 м²,37 453 грн,"Голосіївський,",,"{'lat': 50.4261288, 'lng': 30.5140672}"
"вул. Драгомирова, 18",2 кімнати,60 м²,41 198 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Коновальця Євгена, 32А",4 кімнати,130 м²,37 453 грн,"Печерський,",,"{'lat': 50.42669850000001, 'lng': 30.5316812}"
"бул. Лесі Українки, 7Б",3 кімнати,134 м²,86 142 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
"вул. Професора Підвисоцького, 2",1 кімната,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4161365, 'lng': 30.5427219}"
"вул. Академика Філатова, 14/55",2 кімнати,72 м²,37 453 грн,"Печерський,",,"{'lat': 50.4150923, 'lng': 30.5313979}"
"вул. Шота Руставелі, 11",4 кімнати,150 м²,44 944 грн,"Печерський,",Печерська,"{'lat': 50.43900259999999, 'lng': 30.5208545}"
"вул. Предславинська, 42А",1 кімната,50 м²,37 453 грн,,,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Деміївська, 60",2 кімнати,90 м²,59 925 грн,"Голосіївський,",,"{'lat': 50.3987853, 'lng': 30.4995792}"
"пров. Лабораторний, 7",2 кімнати,63 м²,44 944 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Саксаганського, 57Б",4 кімнати,120 м²,59 925 грн,"Печерський,",Палац спорту,"{'lat': 50.435677, 'lng': 30.5076581}"
"вул. Саперне Поле, 5",2 кімнати,55 м²,56 180 грн,"Печерський,",Палац спорту,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Драгомирова, 18",4 кімнати,145 м²,88 015 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Болсуновська, 2",1 кімната,65 м²,37 453 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Раїси Окіпної, 18",3 кімнати,150 м²,93 633 грн,"Дніпровський,",,"{'lat': 50.4479346, 'lng': 30.5886259}"
"вул. Жилянська, 59",2 кімнати,100 м²,28 090 грн,"Печерський,",Олімпійська,"{'lat': 50.4377164, 'lng': 30.4996084}"
"пров. Лабораторний, 7",3 кімнати,105 м²,187 266 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Драгомирова, 18",1 кімната,90 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Предславинська, 42А",4 кімнати,110 м²,74 906 грн,"Печерський,",,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Коновальця Євгена, 44А",2 кімнати,66 м²,35 581 грн,"Печерський,",,"{'lat': 50.4232239, 'lng': 30.5385719}"
"вул. Драгомирова, 17",3 кімнати,92 м²,56 180 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Коновальця Євгена, 34",2 кімнати,55 м²,29 963 грн,",",,"{'lat': 50.4267967, 'lng': 30.5344145}"
"вул. Деміївська, 29",4 кімнати,165 м²,224 719 грн,"Голосіївський,",,"{'lat': 50.4031856, 'lng': 30.5131022}"
"вул. Предславинська, 42А",2 кімнати,90 м²,67 416 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4156007, 'lng': 30.525237}"
"пров. Лабораторний, 7",1 кімната,55 м²,56 180 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Коновальця Євгена, 44А",3 кімнати,91 м²,44 944 грн,"Печерський,",,"{'lat': 50.4232239, 'lng': 30.5385719}"
"вул. Маккейна Джона, 26",2 кімнати,100 м²,52 434 грн,"Печерський,",,"{'lat': 50.4184533, 'lng': 30.5392407}"
"бул. Лесі Українки, 7Б",3 кімнати,120 м²,63 670 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
"вул. Сергія Колоса, 2",3 кімнати,120 м²,93 633 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}"
"пров. Лабораторний, 7",2 кімнати,65 м²,39 326 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Редутна, 60",2 кімнати,80 м²,67 416 грн,"Печерський,",,"{'lat': 50.42669950000001, 'lng': 30.5579758}"
"вул. Деміївська, 13",3 кімнати,120 м²,31 835 грн,"Голосіївський,",,"{'lat': 50.4038045, 'lng': 30.5138064}"
"Кудри, 7",3 кімнати,75 м²,56 180 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}"
вул. Ділова,2 кімнати,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4299123, 'lng': 30.5154433}"
"вул. Драгомирова, 11",4 кімнати,120 м²,89 888 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Деміївська, 13",4 кімнати,180 м²,48 689 грн,"Голосіївський,",,"{'lat': 50.4038045, 'lng': 30.5138064}"
"вул. Коновальця Євгена, 34Г",4 кімнати,130 м²,37 453 грн,"Печерський,",,"{'lat': 50.4273172, 'lng': 30.5331551}"
вул. Предславинська,4 кімнати,110 м²,74 906 грн,,,"{'lat': 50.4216194, 'lng': 30.5227556}"
"вул. Драгомирова, 18",3 кімнати,121 м²,65 543 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Предславинська, 42А",1 кімната,54 м²,29 963 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Антоновича, 109",2 кімнати,56 м²,33 708 грн,"Голосіївський,",,"{'lat': 50.4228775, 'lng': 30.5171182}"
"вул. Василя Тютюнника, 37/1",2 кімнати,95 м²,33 708 грн,"Печерський,",,"{'lat': 50.421121, 'lng': 30.5263204}"
"вул. Золотоустівська, 30А",2 кімнати,107 м²,44 944 грн,",",,"{'lat': 50.4505902, 'lng': 30.4879963}"
"вул. Деміївська, 60",2 кімнати,95 м²,37 453 грн,"Голосіївський,",,"{'lat': 50.3987853, 'lng': 30.4995792}"
"вул. Ділова, 1/2",3 кімнати,80 м²,86 142 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Саперне Поле, 5",2 кімнати,55 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Велика Васильківська, 139",2 кімнати,58 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.414458, 'lng': 30.5251721}"
"вул. Болсуновська, 2",2 кімнати,87 м²,63 670 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Драгомирова, 18",2 кімнати,90 м²,52 434 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Предславинська, 42А",2 кімнати,60 м²,33 708 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Драгомирова, 1-20",4 кімнати,200 м²,205 992 грн,"Печерський,",,"{'lat': 50.4133862, 'lng': 30.5466086}"
вул. Драгомирова,4 кімнати,160 м²,89 700 грн,"Печерський,",,"{'lat': 50.4121799, 'lng': 30.5462524}"
"пров. Лабораторний, 6",1 кімната,79 м²,26 217 грн,"Печерський,",,"{'lat': 50.4260517, 'lng': 30.5212011}"
"вул. Василя Тютюнника, 51/2",3 кімнати,123 м²,56 180 грн,"Печерський,",,"{'lat': 50.4170334, 'lng': 30.528746}"
"вул. Жилянська, 68",3 кімнати,115 м²,112 360 грн,"Голосіївський,",,"{'lat': 50.436448, 'lng': 30.503023}"
"вул. Саперне Поле, 5",3 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
вул. Деміївська,4 кімнати,165 м²,224 719 грн,"Голосіївський,",,"{'lat': 50.4019745, 'lng': 30.5090048}"
"вул. Предславинська, 40",4 кімнати,104 м²,63 670 грн,,Либідська,"{'lat': 50.4161335, 'lng': 30.525454}"
вул. Пушкінська,2 кімнати,60 м²,33 500 грн,"Печерський,",Золоті ворота,"{'lat': 50.4437775, 'lng': 30.5175565}"
"бул. Лесі Українки, 8",2 кімнати,60 м²,48 689 грн,"Печерський,",,"{'lat': 50.4364836, 'lng': 30.5273173}"
"вул. Василя Тютюнника, 53",3 кімнати,102 м²,74 906 грн,",",,"{'lat': 50.4168157, 'lng': 30.5288956}"
"вул. Саперне Поле, 5",2 кімнати,60 м²,56 180 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"пл. Лесі Українки, 7В",3 кімнати,90 м²,56 180 грн,"Печерський,",Кловська,"{'lat': 50.4273825, 'lng': 30.5400055}"
"вул. Жилянська, 68",1 кімната,55 м²,48 689 грн,"Голосіївський,",,"{'lat': 50.436448, 'lng': 30.503023}"
"вул. Червоноармійська (Бортничі), 29",2 кімнати,40 м²,23 408 грн,"Голосіївський,",Площа Льва Толстого,"{'lat': 50.3690413, 'lng': 30.6971691}"
"вул. Болсуновська, 2",3 кімнати,170 м²,374 532 грн,"Печерський,",Палац спорту,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Драгомирова, 2А",3 кімнати,110 м²,56 180 грн,"Печерський,",,"{'lat': 50.41358049999999, 'lng': 30.5445166}"
"вул. Червоноармійська (Бортничі), 26",2 кімнати,35 м²,22 472 грн,"Голосіївський,",Площа Льва Толстого,"{'lat': 50.3690413, 'lng': 30.6971691}"
"вул. Коновальця Євгена, 34",2 кімнати,60 м²,48 689 грн,"Печерський,",,"{'lat': 50.4267967, 'lng': 30.5344145}"
"бул. Лесі Українки, 8",3 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4364836, 'lng': 30.5273173}"
"вул. Предславинська, 55",2 кімнати,50 м²,37 453 грн,"Печерський,",Либідська,"{'lat': 50.415693, 'lng': 30.5266535}"
"вул. Предславинська, 57",2 кімнати,55 м²,29 963 грн,"Печерський,",Либідська,"{'lat': 50.4152701, 'lng': 30.5273529}"
"вул. Ділова, 2Д",2 кімнати,130 м²,56 180 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Коновальця Євгена, 34А",3 кімнати,128 м²,37 453 грн,"Печерський,",,"{'lat': 50.4273172, 'lng': 30.5331551}"
"вул. Академика Філатова, 53",2 кімнати,82 м²,29 963 грн,",",,"{'lat': 50.41429, 'lng': 30.5324443}"
"вул. Богдана Хмельницького, 68",3 кімнати,68 м²,24 345 грн,"Шевченківський,",Університет,"{'lat': 50.44783289999999, 'lng': 30.5036319}"
"вул. Коновальця Євгена, 34",2 кімнати,55 м²,29 963 грн,"Печерський,",,"{'lat': 50.4267967, 'lng': 30.5344145}"
"вул. Ділова, 1/2",1 кімната,45 м²,34 457 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Драгомирова, 5",1 кімната,60 м²,37 453 грн,"Печерський,",,"{'lat': 50.4118674, 'lng': 30.546937}"
"вул. Маккейна Джона, 7",3 кімнати,75 м²,44 944 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}"
